"name","total_area_1996","total_area_2007","total_area_2008","total_area_2009","total_area_2010 _baseline","total_area_2015","total_area_2016","protected_area","percent_protected"
"East Asian Seas",41339.9188074074,39581.6746470774,39532.403876554,39469.1537958935,39295.5891343318,38901.7468512956,39047.5640746765,9900.65542097536,25.3553727501179
"Eastern Africa",7540.75998764203,7281.55131473273,7304.8783090984,7296.02930815457,7275.9072090528,7235.42899839272,7240.539621204,3173.25240761534,43.8261866328642
"North-East Pacific",6827.6007886799,6669.65337432615,6737.92518015977,6711.48860181711,6464.14152956409,6616.82555043261,6453.10313658629,3838.19357261466,59.4782617196024
"North-West Pacific",10.1576464380543,9.96230730834676,10.0302051941852,10.0258178980049,10.0753453289516,10.0753453289516,10.0753453289516,7.26450989169239,72.1018451925193
"Pacific",9429.58238139796,9356.00690195563,9359.06318114502,9353.60730869874,9352.84216354386,9251.40151280544,9260.26311072787,2871.41203072745,31.0078881819348
"Red Sea and Gulf of Aden",98.2094230423099,96.4711267031278,96.3989217707883,96.4251984379206,95.8194023583648,95.511481631756,96.0002554546064,11.9928045477418,12.4924714949457
"ROPME Area",187.345066464892,180.952288439167,183.760463970186,184.380676957994,184.907311141055,176.585796465244,175.386082977502,92.0123622341495,52.4627499925138
"South-East Pacific",3119.94301998482,3050.57847757115,3054.08917605607,3054.05917010458,3062.19002373902,3035.99119608297,3041.24548244486,1443.24353375468,47.4556737391174
"South Asian Seas",8373.95137098698,8243.23795144997,8237.59539107008,8228.03071017258,8240.17145603639,8151.10786742103,8161.73474742382,5425.00757772537,66.4688052921313
"West and Central Africa - WACAF",19878.4854049901,19775.45591238,19795.5517166024,19791.9814903257,19776.9226394501,19669.5711386764,19628.4268557149,6102.0962103582,31.088055376081
"Wider Caribbean",20839.5220498715,20236.0788068219,20302.7013109958,20189.6006954282,19442.8961056151,19557.4761683603,19482.3285901967,14114.9825492349,72.4501821426902
